pixel,label,predict
0,4,4
1,4,4
2,4,4
3,4,4
4,4,4
5,4,4
6,4,4
7,4,4
8,4,4
9,4,4
10,4,4
11,4,4
12,4,4
13,4,4
14,4,4
15,4,4
16,4,4
17,4,4
18,4,4
19,4,4
20,4,4
21,4,4
22,4,4
23,4,4
24,4,4
25,4,4
26,4,4
27,4,4
28,4,4
29,4,4
30,4,4
31,4,15
32,4,4
33,4,4
34,4,4
35,4,4
36,4,15
37,4,4
38,4,4
39,4,4
40,4,15
41,4,4
42,4,5
43,4,5
44,4,4
45,4,4
46,4,4
47,4,15
48,4,4
49,4,4
50,4,4
51,4,4
52,4,4
53,4,4
54,4,4
55,4,4
56,4,4
57,4,4
58,4,4
59,4,10
60,4,10
61,4,4
62,4,4
63,4,4
64,4,4
65,4,4
66,4,4
67,4,4
68,4,4
69,4,4
70,4,4
71,4,4
72,4,4
73,4,4
74,4,4
75,4,4
76,4,4
77,4,4
78,4,4
79,4,4
80,4,4
81,4,4
82,4,4
83,4,4
84,4,4
85,4,4
86,4,4
87,4,4
88,4,4
89,4,4
90,4,4
91,4,4
92,4,4
93,4,4
94,4,4
95,4,4
96,4,4
97,4,4
98,4,4
99,4,4
100,4,5
101,4,15
102,4,4
103,4,4
104,4,5
105,4,5
106,4,4
107,4,4
108,4,4
109,4,4
110,4,4
111,4,4
112,4,7
113,4,15
114,4,4
115,4,4
116,4,4
117,4,4
118,4,4
119,4,4
120,4,7
121,4,7
122,4,15
123,4,4
124,4,4
125,4,15
126,4,15
127,4,15
128,4,15
129,4,15
130,4,15
131,4,15
132,4,4
133,4,4
134,4,15
135,4,15
136,4,15
137,4,15
138,4,15
139,4,15
140,4,15
141,4,15
142,4,15
143,4,15
144,4,15
145,4,15
146,4,15
147,4,15
148,4,15
149,4,15
150,4,15
151,4,15
152,4,15
153,4,15
154,4,15
155,4,15
156,4,15
157,4,15
158,4,15
159,4,15
160,4,15
161,4,15
162,4,15
163,4,15
164,4,15
165,4,15
166,4,15
167,4,15
168,4,15
169,4,15
170,4,15
171,4,15
172,4,15
173,4,15
174,4,15
175,4,15
176,4,15
177,4,15
178,4,15
179,4,15
180,4,15
181,4,15
182,4,15
183,4,15
184,4,15
185,4,15
186,4,15
187,4,15
188,4,15
189,4,15
190,4,15
191,4,15
192,4,15
193,4,15
194,4,15
195,4,15
196,4,15
197,4,12
198,4,15
199,4,15
200,4,15
201,4,15
202,4,12
203,4,15
204,4,15
205,4,15
206,4,15
207,4,15
208,4,4
209,4,4
210,4,4
211,4,4
212,4,4
213,4,4
214,4,4
215,4,4
216,4,4
217,4,4
218,4,15
219,4,4
220,4,4
221,4,4
222,4,4
223,4,4
224,4,4
225,4,4
226,4,4
227,4,15
228,4,4
229,4,4
230,4,4
231,4,4
232,4,4
233,4,4
234,4,4
235,4,4
236,4,4
237,4,15
238,4,15
239,4,4
240,4,4
241,4,4
242,4,4
243,4,4
244,4,4
245,4,15
246,4,15
247,4,15
248,4,15
249,4,15
250,4,15
251,4,15
252,4,4
253,4,4
254,4,4
255,4,4
256,4,4
257,4,4
258,4,15
259,4,15
260,4,15
261,4,15
262,4,15
263,4,15
264,4,4
265,4,4
266,4,4
267,4,15
268,4,15
269,4,15
270,4,4
271,4,4
272,4,4
273,4,4
274,4,4
275,4,4
276,4,4
277,4,4
278,4,15
279,4,15
280,4,4
281,4,4
282,4,15
283,4,4
284,4,4
285,4,4
286,4,4
287,4,4
288,4,4
289,4,4
290,4,15
291,4,15
292,4,4
293,4,4
294,4,4
295,4,4
296,4,4
297,4,4
298,4,5
299,4,4
300,4,15
301,4,15
302,4,4
303,4,15
304,4,15
305,4,15
306,4,15
307,4,4
308,4,4
309,4,4
310,4,4
311,4,4
312,4,4
313,4,15
314,4,4
315,4,4
316,4,4
317,4,4
318,4,4
319,4,4
320,4,4
321,4,4
322,4,15
323,4,15
324,4,4
325,4,4
326,4,4
327,4,4
328,4,5
329,4,4
330,4,4
331,4,5
332,4,5
333,4,15
334,4,15
335,4,4
336,4,4
337,4,5
338,4,4
339,4,4
340,4,4
341,4,4
342,4,15
343,4,15
344,4,4
345,4,4
346,4,5
347,4,4
348,4,5
349,4,4
350,4,4
351,4,4
352,4,15
353,4,15
354,4,15
355,4,15
356,4,4
357,4,4
358,4,4
359,4,4
360,4,15
361,4,15
362,4,4
363,4,4
364,4,5
365,4,5
366,4,4
367,4,5
368,4,5
369,4,4
370,4,4
371,4,15
372,4,15
373,4,15
374,4,4
375,4,4
376,4,4
377,4,15
378,4,15
379,4,5
380,4,5
381,4,5
382,4,5
383,4,4
384,4,4
385,4,4
386,4,4
387,4,15
388,4,15
389,4,15
390,4,15
391,4,4
392,4,5
393,4,5
394,4,5
395,4,5
396,4,5
397,4,4
398,4,4
399,4,4
400,4,4
401,4,15
402,4,4
403,4,4
404,4,5
405,4,5
406,4,5
407,4,5
408,4,4
409,4,5
410,4,4
411,4,5
412,4,5
413,4,15
414,4,15
415,4,5
416,4,4
417,4,4
418,4,4
419,4,4
420,4,5
421,4,15
422,4,15
423,4,5
424,4,5
425,4,4
426,4,4
427,4,4
428,4,15
429,4,15
430,4,5
431,4,4
432,4,4
433,4,4
434,4,5
435,4,15
436,4,15
437,4,5
438,4,4
439,4,4
440,4,4
441,4,10
442,4,15
443,4,15
444,4,4
445,4,4
446,4,5
447,4,10
448,4,10
449,4,5
450,4,5
451,4,5
452,4,4
453,4,10
454,4,10
455,4,10
456,4,5
457,4,5
458,4,7
459,4,7
460,4,15
461,4,15
462,4,10
463,4,4
464,4,15
465,4,15
466,4,7
467,4,7
468,4,7
469,4,4
470,4,4
471,4,7
472,4,15
473,4,15
474,4,15
475,4,15
476,4,4
477,4,4
478,4,4
479,4,7
480,4,7
481,4,15
482,4,15
483,4,15
484,4,4
485,4,4
486,4,4
487,4,4
488,4,4
489,4,7
490,4,15
491,4,7
492,4,7
493,4,15
494,4,15
495,4,5
496,4,4
497,4,4
498,4,4
499,4,4
500,4,4
501,4,7
502,4,7
503,4,7
504,4,7
505,4,7
506,4,15
507,4,4
508,4,4
509,4,4
510,4,4
511,4,4
512,4,4
513,4,4
514,4,15
515,4,15
516,4,15
517,4,15
518,4,15
519,4,15
520,4,4
521,4,4
522,4,4
523,4,4
524,4,4
525,4,4
526,4,4
527,4,4
528,4,4
529,4,15
530,4,15
531,4,15
532,4,15
533,4,15
534,4,15
535,4,4
536,4,4
537,4,4
538,4,4
539,4,4
540,4,4
541,4,4
542,4,4
543,4,4
544,4,4
545,4,15
546,4,15
547,4,7
548,4,7
549,4,7
550,4,7
551,4,4
552,4,4
553,4,4
554,4,4
555,4,4
556,4,4
557,4,4
558,4,4
559,4,4
560,4,4
561,4,4
562,4,15
563,4,15
564,4,15
565,4,7
566,4,7
567,4,7
568,4,4
569,4,4
570,4,4
571,4,4
572,4,4
573,4,4
574,4,4
575,4,4
576,4,4
577,4,4
578,4,4
579,4,15
580,4,15
581,4,7
582,4,7
583,4,7
584,4,7
585,4,4
