class,Random Forest precision,recall,f1-score,support
4,0.7263157894736842,0.07620099392600774,0.13793103448275862,1811.0
5,0.0,0.0,0.0,5050.0
7,0.8053375806075674,0.9553456221198157,0.8739513511234771,21700.0
10,0.9760479041916168,1.0,0.9878787878787879,11084.0
12,0.8174701277297075,0.47058823529411764,0.5973204877314466,4216.0
15,0.7539181460298596,0.8911325724319579,0.8168028004667445,22780.0
avg / total,0.7537463091647721,0.8138683393106346,0.7696351627164123,66641.0
class,Multi-layer Perceptron precision,recall,f1-score,support
4,0.0,0.0,0.0,1811.0
5,0.0,0.0,0.0,5050.0
7,0.7901135757298574,0.9553456221198157,0.8649088405857566,21700.0
10,0.9376533288215887,1.0,0.9678236192970967,11084.0
12,0.7437655860349127,0.2829696394686907,0.40996563573883166,4216.0
15,0.7389354288679665,0.8751097453906936,0.8012781864222839,22780.0
avg / total,0.7128806421021874,0.7944508635824793,0.7424470077576039,66641.0
class,AdaBoost precision,recall,f1-score,support
4,0.5678670360110804,0.33959138597459965,0.42501727712508636,1811.0
5,0.597406914893617,0.3558415841584158,0.44601638123603865,5050.0
7,0.8760519422616062,0.7243778801843318,0.7930277728728905,21700.0
10,0.8527465763963686,1.0,0.9205215513661655,11084.0
12,0.4502186776434268,0.8301707779886148,0.5838198498748958,4216.0
15,0.788546255506608,0.8250658472344161,0.8063927920197361,22780.0
avg / total,0.7858328651681136,0.7729475848201558,0.7692691413706575,66641.0
